Sprecko,"0, Careful Shot, 0, Call Out, 6, Refresh, 9, Lure Shot, 12, Breaker, 15, Shield, 19, Clear Field, 24, Toppler, 30, Mark, 35, Snipe, 39, Forward Pass, 43, Demolish","Boom, Relaxed Hit, Power Sap, Dig, Pipe, Exhaust, Hunker, Tough Front, Torch Pass, Chill Out, Heat Up"
Bongus,"0, Breaker, 0, Drum, 5, Refresh, 9, Calming Aura, 12, Power Sap, 17, Shield, 20, Mark, 25, Bounce, 31, Clear Field, 36, Stomp, 40, Forward Pass, 44, Mighty Yell, 48, Vigor Beam","Careful Shot, Boom, Lure Shot, Relaxed Hit, Dig, Pipe, Exhaust, Hunker, Tough Front, Torch Pass, Call Out, Chill Out, Heat Up, Toppler, Demolish, Snipe, High Slam"
Surgus,"0, Toppler, 0, Rally, 5, Refresh, 9, Provoke, 12, Jammer, 17, Shield, 20, Mark, 25, Relentless, 31, Clear Field, 36, Bring the Heat, 40, Heat Up, 44, Torch Pass, 48, Contest","Careful Shot, Boom, Lure Shot, Breaker, Relaxed Hit, Power Sap, Dig, Pipe, Forward Pass, Exhaust, Hunker, Tough Front, Call Out, Chill Out, Demolish, Snipe, Cut Shot, High Five"
Illugus,"0, Lure Shot, 0, Lay Trap, 5, Refresh, 9, Tracker, 12, Distraction, 17, Snipe, 20, Shield, 25, Sneak Attack, 31, Mark, 36, Stinger, 40, Sting, 44, Dump, 48, Clear Field","Careful Shot, Boom, Breaker, Relaxed Hit, Power Sap, Dig, Pipe, Forward Pass, Exhaust, Hunker, Tough Front, Torch Pass, Call Out, Chill Out, Heat Up, Toppler, Demolish, Trickspin, Slice, Sweep, Feint"
Kichik,"0, Quick Breath, 0, Basic Hit, 6, Stretch, 9, Kick, 12, Shield, 14, Shove, 17, Net Rush, 24, Thump, 28, Smack, 31, Flying Kick, 35, Cover, 41, Vigor Beam","Bump, Relaxed Hit, Deep Breath, Hunker, Desperate Force, Call Out, Body Ready, Stomp, Hawkeye, Breaker, Reposition, Mark, Demolish, Tough Front"
Ostrisigh,"0, Quick Breath, 0, Basic Hit, 10, Stretch, 13, Kick, 16, Shield, 18, Shove, 21, Net Rush, 28, Thump, 32, Smack, 35, Flying Kick, 39, Cover, 45, Vigor Beam","Bump, Relaxed Hit, Deep Breath, Hunker, Desperate Force, Call Out, Body Ready, Stomp, Hawkeye, Breaker, Reposition, Mark, Demolish, Tough Front"
Kasaleet,"0, Quick Breath, 0, Basic Hit, 14, Stretch, 17, Kick, 20, Shield, 22, Shove, 25, Net Rush, 32, Thump, 36, Smack, 39, Flying Kick, 43, Cover, 49, Vigor Beam","Bump, Relaxed Hit, Deep Breath, Hunker, Desperate Force, Call Out, Body Ready, Stomp, Hawkeye, Breaker, Reposition, Mark, Demolish, Tough Front"
Axolati,"0, Hum, 0, Pepshot, 7, Cheer, 11, Rousing Strike, 15, Drum, 19, Dramatic Exit, 23, Bring the Heat, 28, Battle Cry, 32, Introduce, 36, Supercommit, 41, Chant","Jammer, Mighty Yell, Net Rush, Cover, Forward Pass, Whistle, Shield, Trait Dance, Soliloquy, Energized, Stomp, Relaxed Hit, Thriller"
Hopsong,"0, Hum, 0, Pepshot, 11, Cheer, 15, Rousing Strike, 19, Drum, 23, Dramatic Exit, 27, Bring the Heat, 32, Battle Cry, 36, Introduce, 40, Supercommit, 45, Chant","Jammer, Mighty Yell, Net Rush, Cover, Forward Pass, Whistle, Shield, Trait Dance, Soliloquy, Energized, Stomp, Relaxed Hit, Thriller"
Hopra,"0, Hum, 0, Pepshot, 15, Cheer, 19, Rousing Strike, 23, Drum, 27, Dramatic Exit, 31, Bring the Heat, 36, Battle Cry, 40, Introduce, 44, Supercommit, 49, Chant","Jammer, Mighty Yell, Net Rush, Cover, Forward Pass, Whistle, Shield, Trait Dance, Soliloquy, Energized, Stomp, Relaxed Hit, Thriller"
